"Date","Price","Open","High","Low","Vol.","Change %"
"05/23/2022","23,909.0","24,344.0","24,431.0","22,953.0","3.69M","0.37%"
"05/20/2022","23,822.0","23,996.0","24,518.0","23,474.0","4.67M","1.11%"
"05/19/2022","23,561.0","22,127.0","23,909.0","22,127.0","4.33M","3.04%"
"05/18/2022","22,866.0","22,866.0","23,692.0","22,692.0","3.79M","2.34%"
"05/17/2022","22,344.0","21,301.0","22,344.0","21,083.0","3.49M","6.86%"
"05/16/2022","20,910.0","21,736.0","22,127.0","20,866.0","3.15M","-0.21%"
"05/13/2022","20,953.0","22,431.0","22,779.0","20,953.0","7.10M","-6.95%"
"05/12/2022","22,518.0","24,083.0","24,779.0","22,518.0","3.98M","-6.83%"
"05/11/2022","24,170.0","24,170.0","24,692.0","23,822.0","2.49M","1.27%"
"05/10/2022","23,866.0","22,431.0","23,996.0","22,257.0","3.94M","0.00%"
"05/09/2022","23,866.0","24,518.0","25,170.0","23,866.0","4.24M","-6.95%"
"05/06/2022","25,648.0","26,517.0","27,256.0","25,648.0","3.49M","-6.35%"
"05/05/2022","27,387.0","28,213.0","28,213.0","26,604.0","5.21M","0.48%"
"05/04/2022","27,256.0","26,083.0","27,256.0","25,822.0","6.07M","7.00%"
"04/29/2022","25,474.0","25,039.0","25,735.0","24,865.0","3.63M","1.04%"
"04/28/2022","25,213.0","25,691.0","26,300.0","25,213.0","3.07M","-1.70%"
"04/27/2022","25,648.0","25,387.0","25,996.0","24,779.0","2.79M","0.68%"
"04/26/2022","25,474.0","23,605.0","25,518.0","23,561.0","5.56M","1.74%"
"04/25/2022","25,039.0","26,517.0","27,126.0","25,039.0","5.73M","-6.95%"
"04/22/2022","26,909.0","27,908.0","28,604.0","25,909.0","3.78M","-3.28%"
"04/21/2022","27,822.0","25,648.0","28,647.0","25,387.0","7.86M","3.56%"
"04/20/2022","26,865.0","27,822.0","28,647.0","26,865.0","7.60M","-6.93%"
"04/19/2022","28,865.0","30,995.0","31,386.0","28,865.0","6.61M","-6.87%"
